2|10|1|888551441
2|10|1|888551441
4|10|3|892004275
4|10|5|892003526
5|10|-5|875636493
1|1|3|878542420
1|1|5|889751711
2|1|5|888552084
2|1|1|888980240
3|1|3|889237455
4|1|5|892002353
5|1|3|875635748
1|2|5|875072442
2|2|3|888550774
2|2|1|888550631
3|2|-5|889237224
5|2|1|875636053
1|3|3|878542699
2|3|3|888551922
3|3|1|889237122
3|3|-3|889237269
4|3|5|892002352
5|3|1|875635225
2|4|-5|888980085
3|4|-3|889237224
3|4|1|889237122
4|4|1|892004275
4|4|5|892004409
4|4|5|892002353
5|4|-5|875721432
5|4|-5|875635807
1|5|3|878542441
1|5|-3|878542201
3|5|-5|889237269
3|5|-5|889237247
5|5|-3|875635723
4|6|1|892003459
1|7|1|874965739
2|7|3|888550871
3|7|-5|889236983
4|7|3|892003525
5|7|3|875636198
3|8|5|889237455
4|8|3|892001445
5|8|1|875720691
1|9|1|888732928
5|9|-5|878844423
1|10|3|875072547
1|10|3|887431883
2|10|5|888552084
